hg/ha_yield
22239
41644
52273
170818
94475
23940
162720
92919
30385
153208
24852
23940
20319
331744
42526
15156
11710
30877
19730
101504
10145
51360
55593
7532
162540
172693
285828
394976
18972
6553
71320
37301
16359
151076
2652
6608
168178
54257
188091
21697
60492
15927
270436
16634
15271
37611
14962
188908
64750
70170
214928
27079
161059
10939
11052
15032
30744
122220
218925
193516
26053
104870
21673
16630
80495
161644
85694
27132
237799
32628
65060
28900
33960
416667
30368
44322
109110
29816
35546
17322
31316
80325
140000
25760
23940
62593
57778
123630
216815
91353
10236
14178
21858
59065
31214
32810
65968
30877
178455
50000
244444
131364
64673
19523
6261
52500
92000
25642
24828
16503
100000
177561
28685
12450
55862
20755
166362
140099
12500
11230
5989
190454
14000
30348
23758
4992
29998
21323
16783
180795
183627
79014
65862
21350
253729
257930
110676
132173
16223
48875
64673
269012
5966
35371
227489
12160
298183
18410
16404
236186
132795
48956
13367
100
54167
75988
26571
34462
30053
188103
30643
149382
1111
29285
200000
7786
22246
90080
6028
31742
12276
166719
22814
11380
192134
14480
68571
48213
13197
91837
55538
11919
220766
31099
41734
194173
196667
74403
21736
103333
162720
235174
155252
111111
19575
49020
25927
80716
21603
29408
5409
36093
91773
50000
27785
18118
35943
41536
205381
70002
166986
35199
215536
124794
4168
45912
23876
140000
437606
73731
266530
31538
22498
14014
16448
133760
19942
80716
121538
32924
28116
29756
37202
86553
88453
38290
21241
13846
88376
23810
81380
62435
110517
45548
28508
305974
30000
28591
285359
11720
31537
8333
21632
13330
322204
28303
28220
7784
14480
365161
23796
54407
21288
168039
18324
365161
63467
42313
17054
20352
130000
154365
12381
17631
33254
21892
9592
49306
121589
42373
7537
52934
22799
90080
22818
69798
50000
26016
18209
153960
9038
16503
17380
72932
18480
69838
4365
19737
27031
166362
148033
23729
9461
28805
6449
194673
44691
118358
187740
27143
6193
6180
205712
69924
81345
344391
275893
20918
24400
15533
57390
12369
22500
6062
73776
24033
239420
15249
33583
9480
32000
49583
13846
226517
7639
68405
94975
83192
18096
20878
11811
7624
111000
10000
242634
59030
331543
248403
9990
34539
15175
33960
261054
54553
141042
109373
17094
97174
424781
